hash,human_adherence,human_readability,human_accuracy,human_overall,ai_adherence,ai_readability,ai_accuracy,ai_overall
0bace50fcac775e7214eab01c96f7fea90d48e8c_taxonomy.db,1.0,0.38846153846153847,1.0,0.7961538461538461,1.0,0.9355384615384615,0.4,0.7785128205128204
f4be61386614e6cf668d211c8f6ea7e7485b5185_taxonomy.db,1.0,0.0,0.8,0.6,1.0,0.6228461538461538,1.0,0.8742820512820512
ede0e079fb3d4fc118f23171266a1834d7ea5388_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.4458461538461539,1.0,0.8152820512820513
9c4461bcd79601c7ef7be4327ccf9e33a0260d10_taxonomy.db,1.0,0.6384615384615384,0.8,0.8128205128205129,1.0,0.5892307692307692,1.0,0.8630769230769232
44e89d4ef4fedb46e38d830901e4bab6d57457d9_taxonomy.db,1.0,0.25,0.6,0.6166666666666667,1.0,0.5954615384615385,1.0,0.8651538461538463
0a9f4759cef9ac3587654bfb83b3ef36053c1276_taxonomy.db,1.0,0.8884615384615384,0.8,0.8961538461538462,1.0,0.6449230769230769,0.6,0.7483076923076922
5306baf3f4c381e8f13bae2c5bc6329a3c506548_taxonomy.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.75,1.0,0.9166666666666666
478bb88546a3ec84edbdd16f07365d8deff5ac90_taxonomy.db,0.0,1.0,1.0,0.6666666666666666,1.0,0.7162307692307692,1.0,0.9054102564102564
bbf0bd80e40c57b602d9d7373ddf15e963dede24_taxonomy.db,1.0,0.6306153846153846,0.8,0.8102051282051281,1.0,0.7204615384615385,1.0,0.9068205128205129
209cfae605b15c1272095b06804d6126bedbb01a_taxonomy.db,1.0,0.5,0.2,0.5666666666666667,1.0,0.5421538461538462,1.0,0.8473846153846155
d79b3bd1d358697b2a187b504dc9bcb24fade222_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.6488461538461539,0.8,0.8162820512820513
7057399f63046026d210a83d2d5260dc39624a4e_taxonomy.db,0.0,0.0,1.0,0.3333333333333333,1.0,0.5186923076923077,1.0,0.8395641025641026
4708ffef9e31e08139a15824a63492c59ebf6589_taxonomy.db,0.0,0.5998461538461539,1.0,0.5332820512820513,1.0,0.6204615384615384,1.0,0.8734871794871794
9b9590a88432d3b886a2d6a69263f1e1cb5831ad_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
8b140ba5e5e96ea91f2585f4aef18549ff02fff1_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,0.0,0.5833333333333334
95a93b7ba95c8a4ec82c8e46ce174a8f77f17c0c_taxonomy.db,0.0,0.0,0.6,0.19999999999999998,1.0,0.4796923076923077,0.8,0.759897435897436
48e73283ca9f0d274c1ba72c4fd45b35e70488a3_taxonomy.db,1.0,0.4379230769230769,0.8,0.745974358974359,1.0,0.619923076923077,0.8,0.8066410256410257
cff0b608e601f917e26ab6293df5dbb686580b12_taxonomy.db,1.0,0.38846153846153847,0.8,0.7294871794871796,1.0,0.6775384615384615,0.8,0.8258461538461539
381dfaeb458774ae47b96a2ae8f68ead3327d5c5_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.7477692307692307,0.8,0.8492564102564103
